timestamp,item_id,user_answer,user_id,content_type,bundle_id,answered_correctly,content_id,elapsed_time,bundle_had_explanation,prior_question_elapsed_time,cumulative_correct_answers,recent_accuracy,cumulative_explanations_seen,cumulative_lectures_seen,cumulative_responses_by_bundle
1567388864238,q1962,c,u10391,q,b1588,0.0,1962,26666.0,False,,0.0,0.0,0,0,1.0
1567389031924,e1588,-1,u10391,e,b1588,-1.0,1588,-1.0,,,,,1,0,
1567389106479,q1665,a,u10391,q,b1489,1.0,1665,25000.0,False,26666.0,1.0,0.5,1,0,1.0
1567389118699,e1489,-1,u10391,e,b1489,-1.0,1489,-1.0,,,,,2,0,
1567389195265,q1536,a,u10391,q,b1446,1.0,1536,25666.0,False,25000.0,2.0,0.6666666666666666,2,0,1.0
1567389229308,e1446,-1,u10391,e,b1446,-1.0,1446,-1.0,,,,,3,0,
1567389304301,q1752,b,u10391,q,b1518,1.0,1752,25333.0,False,25666.0,3.0,0.75,3,0,1.0
1567389320715,e1518,-1,u10391,e,b1518,-1.0,1518,-1.0,,,,,4,0,
1567391799342,q2130,a,u10391,q,b1644,1.0,2130,11000.0,False,25333.0,4.0,0.8,4,0,1.0
1567391849383,e1644,-1,u10391,e,b1644,-1.0,1644,-1.0,,,,,5,0,
1567391929013,q1917,a,u10391,q,b1573,0.0,1917,,False,11000.0,4.0,0.8,5,0,1.0
1567391937767,q1917,c,u10391,q,b1573,1.0,1917,,False,9333.0,5.0,0.8,5,0,2.0
1567391939037,q1917,d,u10391,q,b1573,0.0,1917,9333.0,False,9333.0,5.0,0.6,5,0,3.0
1567392003274,e1573,-1,u10391,e,b1573,-1.0,1573,-1.0,,,,,6,0,
1567392088074,q1980,c,u10391,q,b1594,0.0,1980,12000.0,False,9333.0,5.0,0.4,6,0,1.0
1567392143301,e1594,-1,u10391,e,b1594,-1.0,1594,-1.0,,,,,7,0,
1567392292775,q1731,a,u10391,q,b1511,1.0,1731,30000.0,False,12000.0,6.0,0.4,7,0,1.0
1567392321939,e1511,-1,u10391,e,b1511,-1.0,1511,-1.0,,,,,8,0,
1567392560706,q6062,a,u10391,q,b4594,0.0,6062,14000.0,False,30000.0,6.0,0.4,8,0,1.0
1567392560706,q6062,a,u10391,q,b4594,0.0,6062,28000.0,False,21000.0,6.0,0.2,8,0,2.0
1567392592922,e4594,-1,u10391,e,b4594,-1.0,4594,-1.0,,,,,9,0,
1567392610922,q6188,d,u10391,q,b4720,1.0,6188,19000.0,False,21000.0,7.0,0.4,9,0,1.0
1567392623410,e4720,-1,u10391,e,b4720,-1.0,4720,-1.0,,,,,10,0,
1567392636464,q3935,b,u10391,q,b2467,0.0,3935,14000.0,False,19000.0,7.0,0.4,10,0,1.0
